Nr,Typ,Name,Adresse/Ort,Latitude,Longitude,Empfohlene Strassen/Notiz
35,Transit,Figueres,"Figueres, Spain",42.2655,2.9581,"Rueckgrat Richtung Barcelona"
36,Transit,Girona,"Girona, Spain",41.9794,2.8214,"Rueckgrat Richtung Barcelona"
37,Uebernachtung,Barcelona,"Barcelona, Spain",41.3874,2.1686,"Stadtstopp; Garage"
38,Route,Sitges,"Sitges, Spain",41.2367,1.8237,"Optional Kuestenabschnitt"
39,Route,Tarragona,"Tarragona, Spain",41.1189,1.2445,"Fotostopp"
40,Route,Reus,"Reus, Spain",41.1498,1.1055,"Richtung Priorat"
41,Uebernachtung,Falset,"Falset, Spain",41.1460,0.8200,"Priorat-Basis"
42,Route,Gratallops,"Gratallops, Spain",41.1920,0.7750,"Priorat-Runde"
43,Route,La Vilella Baixa,"La Vilella Baixa, Spain",41.2206,0.7634,"Priorat-Runde"
44,Route,Escaladei,"Escaladei, Spain",41.2551,0.8115,"Priorat-Runde"
45,Route,Cornudella de Montsant,"Cornudella de Montsant, Spain",41.2652,0.9056,"Priorat-Runde"
46,Route,Porrera,"Porrera, Spain",41.1881,0.8565,"Priorat-Runde"
47,Transit,Gandesa,"Gandesa, Spain",41.0533,0.4387,"N-420 Richtung Alcaniz"
48,Transit,Alcaniz,"Alcaniz, Spain",41.0500,-0.1333,"N-420 Richtung Teruel"
49,Transit,Teruel,"Teruel, Spain",40.3456,-1.1065,"A-1512 nach Albarracin"
50,Uebernachtung,Albarracin,"Albarracin, Spain",40.4070,-1.4440,"A-1512 via Gea; nicht in Altstadt fahren"
51,Route,Orihuela del Tremedal,"Orihuela del Tremedal, Spain",40.5506,-1.6541,"Albarracin-Runde; nur Asphalt akzeptieren"
52,Route,Bronchales,"Bronchales, Spain",40.5110,-1.5895,"Albarracin-Runde"
53,Route,Noguera de Albarracin,"Noguera de Albarracin, Spain",40.4626,-1.5978,"Albarracin-Runde"
54,Route,Tramacastilla,"Tramacastilla, Spain",40.4301,-1.5682,"Albarracin-Runde"
55,Transit,Segorbe,"Segorbe, Spain",39.8518,-0.4884,"A-23/N-234 Richtung Valencia"
56,Uebernachtung,Valencia,"Valencia, Spain",39.4699,-0.3763,"Stadtstopp; Garage"
57,Route,Xativa,"Xativa, Spain",38.9903,-0.5180,"Inlandroute nach Altea"
58,Route,Bocairent,"Bocairent, Spain",38.7661,-0.6089,"Inlandroute"
59,Route,Alcoy,"Alcoy, Spain",38.6987,-0.4736,"Inlandroute"
60,Route,Guadalest,"Guadalest, Spain",38.6760,-0.1970,"Kurvig; Parken am Rand"
61,Uebernachtung,Altea,"Altea, Spain",38.6029,-0.0450,"Costa-Blanca-Basis"
62,Transit,Murcia,"Murcia, Spain",37.9922,-1.1307,"Transfertag nach Granada"
63,Transit,Lorca,"Lorca, Spain",37.6712,-1.7017,"Transfertag"
64,Foto,Guadix,"Guadix, Spain",37.3017,-3.1349,"Fotostopp Hoehlenwohnungen"
65,Uebernachtung,Granada,"Granada, Spain",37.1770,-3.5990,"Stadtstopp; Alpujarras-Runde"
66,Route,Lanjaron,"Lanjaron, Spain",36.9185,-3.4816,"A-348/A-4132 Alpujarras"
67,Route,Orgiva,"Orgiva, Spain",36.9028,-3.4235,"Alpujarras"
68,Route,Pampaneira,"Pampaneira, Spain",36.9407,-3.3603,"Guter Wendepunkt; nicht bis Trevelez erzwingen"
69,Transit,Antequera,"Antequera, Spain",37.0194,-4.5612,"Granada-Ronda und Ronda-Ubeda"
70,Route,El Burgo,"El Burgo, Spain",36.7904,-4.9462,"Richtung Ronda"
71,Uebernachtung,Ronda,"Ronda, Spain",36.7460,-5.1610,"Basis fuer Grazalema"
72,Route,Grazalema,"Grazalema, Spain",36.7580,-5.3656,"A-372"
73,Route,Puerto de las Palomas,"Puerto de las Palomas, Spain",36.8290,-5.4375,"CA-9104; nur offen/trocken"
74,Route,Zahara de la Sierra,"Zahara de la Sierra, Spain",36.8403,-5.3912,"Grazalema-Runde"
75,Route,El Bosque,"El Bosque, Spain",36.7584,-5.5067,"Grazalema-Runde"
76,Route,Ubrique,"Ubrique, Spain",36.6778,-5.4460,"Grazalema-Runde"
77,Transit,Jaen,"Jaen, Spain",37.7796,-3.7849,"Rueckweg nach Ubeda"
78,Uebernachtung,Ubeda,"Ubeda, Spain",38.0110,-3.3710,"Basis fuer Baeza"
79,Foto,Baeza,"Baeza, Spain",37.9938,-3.4681,"Renaissance-Stadt"
80,Transit,Albacete,"Albacete, Spain",38.9943,-1.8585,"Rueckweg nach Cuenca"
81,Foto,Alcala del Jucar,"Alcala del Jucar, Spain",39.1930,-1.4297,"Fotostopp; nicht in enge Gassen routen"
82,Uebernachtung,Cuenca,"Cuenca, Spain",40.0700,-2.1370,"Kompakter Stopp"
83,Transit,Molina de Aragon,"Molina de Aragon, Spain",40.8433,-1.8871,"Rueckweg nach Zaragoza"
84,Transit,Calatayud,"Calatayud, Spain",41.3535,-1.6432,"Rueckweg"
85,Uebernachtung,Zaragoza,"Zaragoza, Spain",41.6488,-0.8891,"Rueckweg nach Barcelona"
86,Transit,Lleida,"Lleida, Spain",41.6176,0.6200,"Rueckweg"
87,Foto,Montblanc,"Montblanc, Spain",41.3760,1.1616,"Kurzer Fotostopp vor Barcelona"
88,Faehre,Genoa,"Genoa, Italy",44.4056,8.9463,"Faehre Barcelona-Genua; symbolisch"
89,Ziel,Berikon,"Berikon AG, Switzerland",47.3507,8.3722,"Heimfahrt ab Genua"
