Tag,Etappe,Start,Ziel,Uebernachtung,Charakter,Wegpunkte,Strassen_Notiz,Google_Maps_Link
16,"Altea - Granada","Altea","Granada","Granada","Transfertag","Murcia | Lorca | Guadix","Nicht ueberfrachten; Guadix nur Fotostopp","https://www.google.com/maps/dir/?api=1&origin=Altea%2C%20Spain&destination=Granada%2C%20Spain&waypoints=Murcia%2C%20Spain%7CLorca%2C%20Spain%7CGuadix%2C%20Spain&travelmode=driving"
17,"Granada Ruhetag","Granada","Granada","Granada","Ruhetag","","Garage/ZBE pruefen",""
18,"Alpujarras-Runde","Granada","Granada","Granada","Lokale Runde","Lanjaron | Orgiva | Pampaneira","A-348/A-4132; Pampaneira als Wendepunkt","https://www.google.com/maps/dir/?api=1&origin=Granada%2C%20Spain&destination=Granada%2C%20Spain&waypoints=Lanjar%C3%B3n%2C%20Spain%7C%C3%93rgiva%2C%20Spain%7CPampaneira%2C%20Spain&travelmode=driving"
19,"Granada - Ronda","Granada","Ronda","Ronda","Andalusien/Transfer","Antequera | Campillos","A-92/A-384/A-367 als Hauptlinie; El Burgo nur separate Schoenwettervariante","https://www.google.com/maps/dir/?api=1&origin=Granada%2C%20Spain&destination=Ronda%2C%20Spain&waypoints=Antequera%2C%20Spain%7CCampillos%2C%20Spain&travelmode=driving"
20,"Grazalema-Runde","Ronda","Ronda","Ronda","Lokale Runde","Grazalema | Puerto de las Palomas | Zahara | El Bosque | Ubrique","CA-9104 nur offen, trocken und bei guter Sicht","https://www.google.com/maps/dir/?api=1&origin=Ronda%2C%20Spain&destination=Ronda%2C%20Spain&waypoints=Grazalema%2C%20Spain%7CPuerto%20de%20las%20Palomas%2C%20Spain%7CZahara%20de%20la%20Sierra%2C%20Spain%7CEl%20Bosque%2C%20Spain%7CUbrique%2C%20Spain&travelmode=driving"
21,"Ronda - Ubeda","Ronda","Ubeda","Ubeda","Rueckweg","Antequera | Jaen | Baeza","Ruhiger Inlandtag","https://www.google.com/maps/dir/?api=1&origin=Ronda%2C%20Spain&destination=%C3%9Abeda%2C%20Spain&waypoints=Antequera%2C%20Spain%7CJa%C3%A9n%2C%20Spain%7CBaeza%2C%20Spain&travelmode=driving"
22,"Ubeda/Baeza Ruhetag","Ubeda","Ubeda","Ubeda","Ruhetag","Baeza optional","Kurzer Kultur- und Puffertag","https://www.google.com/maps/dir/?api=1&origin=%C3%9Abeda%2C%20Spain&destination=%C3%9Abeda%2C%20Spain&waypoints=Baeza%2C%20Spain&travelmode=driving"
23,"Ubeda - Cuenca","Ubeda","Cuenca","Cuenca","Inland","Albacete | Alcala del Jucar","In Alcala del Jucar am Rand parken","https://www.google.com/maps/dir/?api=1&origin=%C3%9Abeda%2C%20Spain&destination=Cuenca%2C%20Spain&waypoints=Albacete%2C%20Spain%7CAlcal%C3%A1%20del%20J%C3%BAcar%2C%20Spain&travelmode=driving"
24,"Cuenca - Zaragoza","Cuenca","Zaragoza","Zaragoza","Rueckverbindung","Molina de Aragon | Calatayud","Nicht zu klein routen; Wetter beachten","https://www.google.com/maps/dir/?api=1&origin=Cuenca%2C%20Spain&destination=Zaragoza%2C%20Spain&waypoints=Molina%20de%20Arag%C3%B3n%2C%20Spain%7CCalatayud%2C%20Spain&travelmode=driving"
25,"Zaragoza - Barcelona","Zaragoza","Barcelona","Barcelona","Rueckkehr","Lleida | Montblanc","Montblanc kurzer Fotostopp","https://www.google.com/maps/dir/?api=1&origin=Zaragoza%2C%20Spain&destination=Barcelona%2C%20Spain&waypoints=Lleida%2C%20Spain%7CMontblanc%2C%20Spain&travelmode=driving"
26,"Barcelona Faehrpuffer","Barcelona","Barcelona/Faehre","Faehre oder Barcelona","Puffer","","Faehrroute, Kabine, zwei Motorrader, Check-in pruefen",""
27,"Italienhafen - Aosta/Como","Savona oder Genoa","Aosta oder Como","Aosta oder Como","Heimweg Teil 1","Genoa | Alexandria oder Milan","Nach Nachtfaehre nicht ueberziehen","https://www.google.com/maps/dir/?api=1&origin=Savona%2C%20Italy&destination=Aosta%2C%20Italy&waypoints=Genoa%2C%20Italy%7CAlexandria%2C%20Italy&travelmode=driving"
28,"Aosta/Como - Berikon","Aosta oder Como","Berikon AG","Berikon","Heimfahrt","Martigny/Lausanne oder Lugano","Alpenquerung nach Wetterlage","https://www.google.com/maps/dir/?api=1&origin=Aosta%2C%20Italy&destination=Berikon%2C%20Switzerland&waypoints=Martigny%2C%20Switzerland%7CLausanne%2C%20Switzerland&travelmode=driving"
